# Lote de cartas Foil — agosto/2026
# Formato aceito pelo painel admin ("Adicionar cartas por link") e por
# scripts/add-cards-by-link.mjs:  Nome da carta | link da imagem
# TCG: Magic · Tipo: Foil
Mountain SLD# 1948 foil | https://lh3.googleusercontent.com/pw/AP1GczPBHGFu4Pa2jCneQ_GwAjjWE_2xzN8lJurQV6u-AvIwSstdUwHVdCGYl0uMl7e0sui2uPO3Sc3_e6MPViNk-gbvQQDjQMBvU-6N400WPLkPd-XPYG0=w1600-h1600-s-no-gm?authuser=0
Mountain SLD# 2512 foil | https://lh3.googleusercontent.com/pw/AP1GczM95sPWi6xEIUfGktehvZy1lpD6MJ2Z3L-hCG3u6495ocuVUTlzek1ZGq7r3Uu_xYF25sbVEBbhoVqB5mQVNDXivRI_hb02LeuSDtqqHKoS8Woky9A=w1600-h1600-s-no-gm?authuser=0
Mountain SLD# 2543 foil | https://lh3.googleusercontent.com/pw/AP1GczMHtKc4aJOsAuWRV-GxiYipT08cZE7ghtDXlfvphTna1wVnAW8C95X4DPh5vSPOsZxeFWEEzWeuoEGamSc5dJa0PRbFOIIJOolM721_VuU79vmBVIA=w1600-h1600-s-no-gm?authuser=0
Mountain SLD# 362 foil | https://lh3.googleusercontent.com/pw/AP1GczNFFMiTc4rCBz7EEZY_K_GE-mXplOSUIN4Ds_RqTy-gn_S0j8q4sw1FwIy0ItmlfwAUXarVr4YO3O3ST06DZ22C0n3ADaRZFkmMnv5kFayPvYfv5CA=w1600-h1600-s-no-gm?authuser=0
Mountain SLD# 418 foil | https://lh3.googleusercontent.com/pw/AP1GczPvTyWdGAE-TX5hWvic1LwKR0YPxcjyv_YyvUBoUWanxMMVyFOC0m0fkTXmzfJkDwDTuRR4X_AGDSmUIINvyar-s_aw8kus-VsR_zKyUUMg8jTBL24=w1600-h1600-s-no-gm?authuser=0
Mountain SLD# 451 foil | https://lh3.googleusercontent.com/pw/AP1GczObHWX76S_kpH-SESvamEHm6c7u3XtT86ij-iK6m4GiyhuolzxFrmPTR6f3x3dEABCdNuivFysd8mDvDTFnaWl3uc3qOe37TxWaWsHjIOLp9w87554=w1600-h1600-s-no-gm?authuser=0
Mountain SLD# 674 foil | https://lh3.googleusercontent.com/pw/AP1GczMGipf4wCrickWje51PeP5yjSlbteBuPZxzgoXh1zP-U6LXEZRhNiA9A-h92e69V3yKZfoNRrkZWqckT5iZFzuspZJjB3RrvWZ2fKKGXmnfLXcSoDs=w1600-h1600-s-no-gm?authuser=0
Mountain SLP# 0034 foil | https://lh3.googleusercontent.com/pw/AP1GczOyuB-9S-LQD_0MUAmSdxmYXzX7-BsknK_Du564HqRxHXmqdkVjXLFcOf-1ZO1OfA2tcdl7uGNxtFg9o_vs8MdVJsdjtgz_1El9zcDmQZ8ZtA13ynU=w1600-h1600-s-no-gm?authuser=0
Namor the Sub-Mariner MSH #391 foil | https://lh3.googleusercontent.com/pw/AP1GczNKv6bpBuB7r6Ms5CA8yr0uYbh1PUGN2wa-JmWR56rhyKD-BIaoTGGd2ZgnFkR3rjUU8ccqk80rQFFpKevkAla6CAmn4eUHOPqpgQBnBe7moOAKcqk=w1600-h1600-s-no-gm?authuser=0
Nick Fury, Agent of S.H.I.E.L.D. MSH #389 foil | https://lh3.googleusercontent.com/pw/AP1GczOamkcI6HKuaMttodEw26LaKTtrSrmAs6R2qlPepCfMethAAZncDdMTw2Md2C5m8PIbRyT2Ly0DtTuGR5YLv5dFdgBeriKcMCwezvS5R1A-hU0oQUU=w1600-h1600-s-no-gm?authuser=0
Nico Minoru, Runaway #700 foil | https://lh3.googleusercontent.com/pw/AP1GczMED39xvyonnnXqfPIs89-9RXx5PZNXtf9wZZnYEQUsORdyI82Jp4bg7JT_qL3MbL2diJ-WORLDqROIn0w-no3U8-pGf7DdA-T5XpppsE2Jqxs7CZs=w1600-h1600-s-no-gm?authuser=0
Nissa, Resurgent Animist SLD #2658 foil | https://lh3.googleusercontent.com/pw/AP1GczMf6dZzN3hyILiCAts633jcsnqdQB-_C-5ok1Ha4-Ynzz7ZTFJhUChZqD2kUGwYvQMAc6fPQqNxjltFcOSh_CanO2bpLkqMPyvph8GYiPvuvHBJqBU=w1600-h1600-s-no-gm?authuser=0
Overgrown Tomb ELC #350 foil | https://lh3.googleusercontent.com/pw/AP1GczO8YHlDCvGmbgu_ql5V9m5gXTwyKjZxFv6I4dgdFAwsr1SS3RTfutLwbLkQy-XDtsRjN5kyl431sNhGSyF4bNVtNuloIzY7Rf_Wfrof5pIcfZaaSZE=w1600-h1600-s-no-gm?authuser=0
Plains SLD# 1088 foil | https://lh3.googleusercontent.com/pw/AP1GczPrRIgSopKjBo3u1fIjMIi8UU3zT-uKWz7-HutCruruCg75Gmc5URRrwgHH1uf71XvwLbCbzSUBKh-S-6WBMF0voWVFJyZTuVPWuoXJGkeOLCBEkqM=w1600-h1600-s-no-gm?authuser=0
Plains SLD# 1130 foil | https://lh3.googleusercontent.com/pw/AP1GczNtAlwVQfgPOM-9SLT-_hCRR24VW-HlN_YJFqyzqBaw0Mq64DA9DTs7BSw6Dlk971Tt1xhe8EQ3smUNJg-VVZ4c4N-0JEzbW63NsTwc4HNMryrzrPg=w1600-h1600-s-no-gm?authuser=0
Plains SLD# 1382 foil | https://lh3.googleusercontent.com/pw/AP1GczNiV7lSOcdFB2_8RLSOnXT6tTbSsoINMpSB-hNmKVobQRS6s6SlVvSStEkj3mSxYy9TDyQojiVS-XrXf6VHw6iNK89p4KmaicnWiDZsEATzDE-LZmM=w1600-h1600-s-no-gm?authuser=0
